name,site,phone,full_address,street,city,postal_code,country,rating,reviews,photo,working_hours,business_status,description,location_link
Fat Owl - Gastropub,https://fatowl.in/,+91 73492 26777,"No 610, 100ft Ring Road, 15th Cross Rd, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078","No 610, 100ft Ring Road, 15th Cross Rd",Bengaluru,560078,India,4.1,3850,https://lh3.googleusercontent.com/p/AF1QipP2XgtE3LnkOhya-DulHd2Wo6DADCa26JrQK2Gp=w800-h500-k-no,"{""Monday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Friday"": ""12pm-1am"", ""Saturday"": ""12pm-1am"", ""Sunday"": ""12pm-12am""}",OPERATIONAL,,"https://www.google.com/maps/place/Fat+Owl+-+Gastropub/@12.906552699999999,77.5813153,14z/data=!4m8!1m2!2m1!1sFat+Owl+-+Gastropub!3m4!1s0x3bae15443843d5a7:0xd3601220256daddc!8m2!3d12.906552699999999!4d77.5813153"
SECOND HOUSE (Padmanabhanagar),,,"7/A, 1st Main Rd, RK Layout 1st Stage, Padmanabhanagar, Bengaluru, Karnataka 560061","7/A, 1st Main Rd",Bengaluru,560061,India,4.3,37,https://lh3.googleusercontent.com/p/AF1QipNvfz_SArCQ2otO_5PYPLCa57hQXv3v98W4Ilmo=w800-h500-k-no,"{""Monday"": ""10am-12:30am"", ""Tuesday"": ""10am-12:30am"", ""Wednesday"": ""10am-12:30am"", ""Thursday"": ""10am-12:30am"", ""Friday"": ""10am-12:30am"", ""Saturday"": ""10am-12:30am"", ""Sunday"": ""10am-12:30am""}",OPERATIONAL,,"https://www.google.com/maps/place/SECOND+HOUSE+%28Padmanabhanagar%29/@12.913608199999999,77.5588095,14z/data=!4m8!1m2!2m1!1sSECOND+HOUSE+%28Padmanabhanagar%29!3m4!1s0x3bae3f17a1f02721:0x858951dee5cf046f!8m2!3d12.913608199999999!4d77.5588095"
Santosh Bar & Restaurant,,,"Dayanandnagar, College Road, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078","Dayanandnagar, College Road",Bengaluru,560078,India,3.6,534,https://lh3.googleusercontent.com/gps-cs-s/AB5caB99fBnhFxZ7_qdEB4gyxoH2xYGsHXfkb3dH9-F-sgK9QcJZlAfsDDYId6XU3uqGHWMY3t_L98patxSb-X_hCLMHuFIdBZ-rNjgXbnFe7TbmM2tOVHPjfQpWKVODzGDxRrSr6Oo=w800-h500-k-no,"{""Monday"": ""9am-12am"", ""Tuesday"": ""9am-12am"", ""Wednesday"": ""9am-12am"", ""Thursday"": ""9am-12am"", ""Friday"": ""9am-12am"", ""Saturday"": ""9am-12am"", ""Sunday"": ""10am-12am""}",OPERATIONAL,,"https://www.google.com/maps/place/Santosh+Bar+%26+Restaurant/@12.908079599999999,77.5613261,14z/data=!4m8!1m2!2m1!1sSantosh+Bar+%26+Restaurant!3m4!1s0x3bae3fd80e12dab1:0x3c7090eb4ab26240!8m2!3d12.908079599999999!4d77.5613261"
Blue Moon Bar and Restaurant,,+91 72591 28852,"1, 1st Cross, Subramanya Pura Rd, Padmanabhanagar, Bengaluru, Karnataka 560061","1, 1st Cross, Subramanya Pura Rd",Bengaluru,560061,India,3.8,169,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8AabzyM4dNtuUVgIy8zPftkfkxbMbdU7jij38xAathF-ehjEDoMlVkWYN-Nq_a8_O31IEBPBijTJESLoClMhYLAYdJ9e9_Zjz2h0sRxbzp59_AyFBeL5UkQax1pTVWJNZ6wdsY=w800-h500-k-no,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,,"https://www.google.com/maps/place/Blue+Moon+Bar+and+Restaurant/@12.9134978,77.5587659,14z/data=!4m8!1m2!2m1!1sBlue+Moon+Bar+and+Restaurant!3m4!1s0x3bae3f454eeaa82b:0x19cbc307b22df3a4!8m2!3d12.9134978!4d77.5587659"
LIT Gastropub Bangalore,,+91 93538 31382,"9th Main Road, No. 233, 40th Cross Rd, 5th Block, Jayanagar, Bengaluru, Karnataka 560041","9th Main Road, No. 233, 40th Cross Rd",Bengaluru,560041,India,3.3,1193,https://lh3.googleusercontent.com/p/AF1QipPF4peWm4JjMaaKXzrHSG7ICiPlwWi9KDycYjns=w800-h500-k-no,"{""Monday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Friday"": ""12pm-12am"", ""Saturday"": ""12pm-12am"", ""Sunday"": ""12pm-12am""}",OPERATIONAL,"Unassuming pub with sports screens & colorful decor, plus beer, cocktails & comfort food.","https://www.google.com/maps/place/LIT+Gastropub+Bangalore/@12.9200047,77.5835173,14z/data=!4m8!1m2!2m1!1sLIT+Gastropub+Bangalore!3m4!1s0x3bae159fba84a689:0xc2664e6a536a937f!8m2!3d12.9200047!4d77.5835173"
Banashankari Bar And Restaurent,,+91 99803 70675,"261/2, Sarakki Main Rd, SBI Colony, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078","261/2, Sarakki Main Rd",Bengaluru,560078,India,3.6,142,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8nKissGJ3_FhXSOZXEI4ZN-vDMLDUG-NCeVDGTpLSDqLHoAv-g26GpCEUF6npKDup-M1gq61Z67zuaum0QCuTGtew9tXkL4Mo3Fd8dJppygSI2bx3Okpyy9BSZJCoQu32-trkI=w800-h500-k-no,"{""Monday"": ""10am-10:30pm"", ""Tuesday"": ""10am-10:30pm"", ""Wednesday"": ""10am-10:30pm"", ""Thursday"": ""10am-10:30pm"", ""Friday"": ""10am-10:30pm"", ""Saturday"": ""10am-10:30pm"", ""Sunday"": ""10am-10:30pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Banashankari+Bar+And+Restaurent/@12.9108997,77.57783549999999,14z/data=!4m8!1m2!2m1!1sBanashankari+Bar+And+Restaurent!3m4!1s0x3bae1571e9dc0357:0x3cb47c663f0f5679!8m2!3d12.9108997!4d77.57783549999999"
Alankar Bar And Restaurant,,+91 77604 51368,"Banashankari, Kanakapura Rd, Door no 27,pillar number 43, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560082","Banashankari, Kanakapura Rd, Door no 27,pillar number 43",Bengaluru,560082,India,3.7,308,https://lh3.googleusercontent.com/p/AF1QipPHP8InWTDDJHcKaxwoSq8sURtxP9p3fOVTZJQB=w800-h500-k-no,"{""Monday"": ""10am-1am"", ""Tuesday"": ""10am-1am"", ""Wednesday"": ""10am-1am"", ""Thursday"": ""10am-1am"", ""Friday"": ""10am-1am"", ""Saturday"": ""10am-1am"", ""Sunday"": ""10am-1am""}",OPERATIONAL,,"https://www.google.com/maps/place/Alankar+Bar+And+Restaurant/@12.912861399999999,77.5733261,14z/data=!4m8!1m2!2m1!1sAlankar+Bar+And+Restaurant!3m4!1s0x3bae157a78d1c239:0x8d59005d802a57a6!8m2!3d12.912861399999999!4d77.5733261"
Neela Bar & Restaurant,,+91 80 2596 5269,"81, RR Layout, Padmanabhanagar, Bengaluru, Karnataka 560070",81,Bengaluru,560070,India,3.8,789,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8SJpxUFy7LhJl8arOXJP3_Gg3t1jG23il5_OU1ZXN33zexKv0HwOvxt9b937I7qL26lUvULq5en8QWwowYzA0snYxJ44hKyz6CePW3VgAzlDeeWlWSFAZSyhmndsgcA7CCui60=w800-h500-k-no,"{""Monday"": ""10:30am-11:30pm"", ""Tuesday"": ""10:30am-11:30pm"", ""Wednesday"": ""10:30am-11:30pm"", ""Thursday"": ""10:30am-11:30pm"", ""Friday"": ""10:30am-11:30pm"", ""Saturday"": ""10:30am-11:30pm"", ""Sunday"": ""10:30am-11:30pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Neela+Bar+%26+Restaurant/@12.9118629,77.5563268,14z/data=!4m8!1m2!2m1!1sNeela+Bar+%26+Restaurant!3m4!1s0x3bae3fd6d4e1e0db:0x43e88891786b7818!8m2!3d12.9118629!4d77.5563268"
Nischith Bar And Restaurant,,,"183, 69th Cross Rd, Kumaraswamy Layout II Stage, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078","183, 69th Cross Rd",Bengaluru,560078,India,4,35,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHldp79s0juiFWnMfeggx5ziUBjf5k6lvn-r8QFj6GsJqh_h1rF-Uu-0eWh72Ins3axjdmYIKFciG8ZfB2EsVVQwF4Vl_o41QWdBhYsL0kCPw-cpRs0vE0xc6blhiDJmfTxEs6vAkxPhdXLx0nRRs4wunpm4kVO2BCh3yxWOhR888bjSV9Ng2S8hSN8brSCqHEFyQ=w800-h500-k-no,"{""Monday"": ""9am-11pm"", ""Tuesday"": ""9am-11pm"", ""Wednesday"": ""9am-11pm"", ""Thursday"": ""9am-11pm"", ""Friday"": ""9am-11pm"", ""Saturday"": ""9am-11pm"", ""Sunday"": ""9am-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Nischith+Bar+And+Restaurant/@12.902588,77.56151,14z/data=!4m8!1m2!2m1!1sNischith+Bar+And+Restaurant!3m4!1s0x3bae3fdf5b0f4f2b:0x88c3b868c7fcd039!8m2!3d12.902588!4d77.56151"
Garden Court Bar And Restaurant,,,"VHWC+V9J, Kanakapura Main Rd, Kashi Nagar, Kumaraswamy Layout, Bengaluru, Karnataka 560078","VHWC+V9J, Kanakapura Main Rd",Bengaluru,560078,India,3.8,97,https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Mgwizh6MWkviRfV6bAOdIbZHZyGoitbhYnLbTNpx9r-MErureD0rqQDOm5eWfRAGCX9aRzj3zHvilOs8lw_aO-KSJjdMz3yt5RJgqdkjjJWPu7EFrY6RPsmGljK0CE4oqNXE=w800-h500-k-no,"{""Monday"": ""10am-9pm"", ""Tuesday"": ""10am-9pm"", ""Wednesday"": ""10am-9pm"", ""Thursday"": ""10am-9pm"", ""Friday"": ""10am-9pm"", ""Saturday"": ""10am-9pm"", ""Sunday"": ""Closed""}",OPERATIONAL,,"https://www.google.com/maps/place/Garden+Court+Bar+And+Restaurant/@12.8972176,77.570898,14z/data=!4m8!1m2!2m1!1sGarden+Court+Bar+And+Restaurant!3m4!1s0x3bae155d73feae95:0xd5921bdd60795431!8m2!3d12.8972176!4d77.570898"
K27 THE PUB,,,"27, 27th cross, opp. Monotype, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070","27, 27th cross, opp. Monotype",Bengaluru,560070,India,3.9,195,https://lh3.googleusercontent.com/p/AF1QipPNlhfnmrlBfYw0V8pOifarnzE6B-SBBKpuw1mX=w800-h500-k-no,"{""Monday"": ""11am-11:30pm"", ""Tuesday"": ""11am-11:30pm"", ""Wednesday"": ""11am-11:30pm"", ""Thursday"": ""11am-11:30pm"", ""Friday"": ""11am-11:30pm"", ""Saturday"": ""11am-11:30pm"", ""Sunday"": ""11am-11:30pm""}",OPERATIONAL,,"https://www.google.com/maps/place/K27+THE+PUB/@12.9216033,77.5701749,14z/data=!4m8!1m2!2m1!1sK27+THE+PUB!3m4!1s0x3bae15acaad5671f:0x6a0b467378c3485d!8m2!3d12.9216033!4d77.5701749"
Shankari Bar & Restaurant,,+91 99805 17172,"10/A, 18th Main Rd, Near-Maharaja Agarsen Hospital, Praghathi Pura, Padmanabhanagar, Bengaluru, Karnataka 560070","10/A, 18th Main Rd",Bengaluru,560070,India,3.6,178,https://lh3.googleusercontent.com/p/AF1QipO2eTs-D6DLjJdaFBqM3O3uoHPdkDDaDh7RIYBh=w800-h500-k-no,"{""Monday"": ""10am-11pm"", ""Tuesday"": ""10am-11pm"", ""Wednesday"": ""10am-11pm"", ""Thursday"": ""10am-11pm"", ""Friday"": ""10am-11pm"", ""Saturday"": ""10am-11pm"", ""Sunday"": ""10am-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Shankari+Bar+%26+Restaurant/@12.9163825,77.55470319999999,14z/data=!4m8!1m2!2m1!1sShankari+Bar+%26+Restaurant!3m4!1s0x3bae3fd3bd69f803:0xe4adf41052ccded2!8m2!3d12.9163825!4d77.55470319999999"
